replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
prelim,low,3,1800,9,female,0,2,1,1,1,0,2,1,0,1,0,2,1,12
prelim,low,3,1800,9,both,0,2,1,2,1,0,5,1,2,1,3,4,2,24
prelim,low,4,1000,1,male,0,0,0,1,0,0,3,1,2,0,3,2,0,12
prelim,low,4,1000,1,female,0,3,0,1,1,1,0,0,0,3,1,2,0,12
prelim,low,4,1000,1,both,0,3,0,2,1,1,3,1,2,3,4,4,0,24
prelim,low,4,1115,2,male,0,0,0,1,0,0,3,1,2,0,3,2,0,12
prelim,low,4,1115,2,female,0,3,0,1,1,1,0,0,0,3,1,2,0,12
prelim,low,4,1115,2,both,0,3,0,2,1,1,3,1,2,3,4,4,0,24
prelim,low,4,1230,3,male,0,0,0,1,0,0,3,2,2,0,2,2,0,12
prelim,low,4,1230,3,female,0,3,0,1,1,1,0,0,0,3,1,2,0,12
prelim,low,4,1230,3,both,0,3,0,2,1,1,3,2,2,3,3,4,0,24
prelim,low,4,1330,4,male,0,0,0,1,0,0,4,2,2,0,1,2,0,12
prelim,low,4,1330,4,female,0,3,0,1,1,1,0,0,0,3,0,2,1,12
prelim,low,4,1330,4,both,0,3,0,2,1,1,4,2,2,3,1,4,1,24
prelim,low,4,1430,5,male,0,1,0,1,0,0,3,2,2,0,1,2,0,12
prelim,low,4,1430,5,female,0,3,0,1,1,1,0,0,0,2,0,3,1,12
prelim,low,4,1430,5,both,0,4,0,2,1,1,3,2,2,2,1,5,1,24
prelim,low,4,1530,6,male,0,0,0,1,0,0,4,1,2,0,1,2,1,12
prelim,low,4,1530,6,female,0,3,0,1,1,2,0,0,0,1,0,3,1,12
prelim,low,4,1530,6,both,0,3,0,2,1,2,4,1,2,1,1,5,2,24
prelim,low,4,1630,7,male,0,0,0,1,0,0,4,2,2,0,1,2,0,12
prelim,low,4,1630,7,female,0,1,0,2,1,1,0,0,1,0,1,2,3,12
prelim,low,4,1630,7,both,0,1,0,3,1,1,4,2,3,0,2,4,3,24
prelim,low,4,1730,8,male,0,0,0,2,0,0,4,1,2,0,1,2,0,12
prelim,low,4,1730,8,female,1,1,0,1,1,1,1,1,0,0,1,3,1,12
prelim,low,4,1730,8,both,1,1,0,3,1,1,5,2,2,0,2,5,1,24
prelim,low,4,1800,9,male,0,0,0,2,0,0,4,1,2,0,1,2,0,12
prelim,low,4,1800,9,female,0,1,0,2,1,1,1,1,1,1,1,1,1,12
prelim,low,4,1800,9,both,0,1,0,4,1,1,5,2,3,1,2,3,1,24
prelim,low,5,1000,1,male,0,0,0,2,0,0,4,1,2,0,2,1,0,12
prelim,low,5,1000,1,female,0,2,0,2,1,1,1,1,1,1,1,1,0,12
prelim,low,5,1000,1,both,0,2,0,4,1,1,5,2,3,1,3,2,0,24
prelim,low,5,1115,2,male,0,0,0,2,0,0,3,1,2,0,2,1,1,12
prelim,low,5,1115,2,female,0,2,0,1,2,1,1,1,1,1,1,0,1,12
prelim,low,5,1115,2,both,0,2,0,3,2,1,4,2,3,1,3,1,2,24
prelim,low,5,1230,3,male,0,0,0,1,0,0,3,0,1,0,1,2,4,12
prelim,low,5,1230,3,female,2,2,0,0,1,2,0,0,1,0,1,1,2,12
prelim,low,5,1230,3,both,2,2,0,1,1,2,3,0,2,0,2,3,6,24
