Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
334,1,Low,4,1200,10,W R,
335,1,Low,4,1200,10,B T V X,
336,1,Low,4,1200,12,K S,
337,1,Low,4,1300,2,C E M,
338,1,Low,4,1300,8,A H,
339,1,Low,4,1300,10,B G I R T W X,
340,1,Low,4,1300,11,D J V,
341,1,Low,4,1300,12,K S,
342,1,Low,4,1400,2,C E,
343,1,Low,4,1400,2,F M,
344,1,Low,4,1400,8,A H,
345,1,Low,4,1400,10,B G I R T W X,
346,1,Low,4,1400,11,U J,
347,1,Low,4,1400,12,K S,
348,1,Low,4,1500,2,C E,
349,1,Low,4,1500,10,B R V W ,
350,1,Low,4,1500,10,I T X,
351,1,Low,4,1500,11,U J,
352,1,Low,4,1500,12,K S,
353,1,Low,4,1600,2,E P,
354,1,Low,4,1600,10,B G I R V W X,
355,1,Low,4,1600,11,J U,
356,1,Low,4,1600,12,K S,
357,1,Low,4,1700,2,F M,
358,1,Low,4,1700,8,E H,
359,1,Low,4,1700,10,R T V W,
360,1,Low,4,1700,10,B G I X,
361,1,Low,4,1700,11,J U,
362,1,Low,4,1700,12,K S,
363,1,Low,5,900,8,E H ,
364,1,Low,5,900,10,B D G I M R T V W X,
365,1,Low,5,900,11,J U N,
366,1,Low,5,900,12,S K,
367,1,Low,5,1000,8,E H,
368,1,Low,5,1000,10,B D M R S V X,
369,1,Low,5,1000,11,J U N,
370,1,Low,5,1000,12,K S,
371,1,Low,5,1100,8,E H,
372,1,Low,5,1100,10,B I M R W X,
373,1,Low,5,1100,10,D G,
374,1,Low,5,1100,11,J U,
375,1,Low,5,1200,8,A C H,
376,1,Low,5,1200,10,B R V W ,
377,1,Low,5,1200,10,G I,
378,1,Low,5,1200,12,K S,
379,1,Low,5,1300,10,B G R W,
380,1,Low,5,1300,12,K S,
381,1,Low,5,1400,1,E H,
382,1,Low,5,1400,10,P R,
383,1,Low,5,1500,10,N R,
384,1,Low,5,1500,10,G J,
385,1,Low,5,1500,12,M K,
386,1,Low,5,1600,3,D X,
387,1,Low,5,1600,10,G N R T,
388,1,Low,5,1600,10,F J,
389,1,Low,5,1600,12,S K M,
390,1,Low,5,1700,10,G H J R W N,
391,1,Low,5,1700,11,B O U,
392,1,Low,5,1700,12,S K M,
393,1,Low,6,900,7,A L V,
394,1,Low,6,900,10,B G D R T W N,
395,1,Low,6,900,12,S M K,
396,1,Low,6,1000,10,B G N R W,
397,1,Low,6,1000,12,M K,
398,1,Low,6,1100,1,E H,
399,1,Low,6,1100,10,G N R W,
400,1,Low,6,1100,10,B D T,
401,1,Low,6,1100,12,K I,
402,1,Low,6,1200,7,P L,
403,1,Low,6,1200,10,B D G N R T W,
404,1,Low,6,1200,12,I S,
405,1,Low,6,1300,7,P L,
406,1,Low,6,1300,10,N R T W ,
407,1,Low,6,1300,10,D F G,
408,1,Low,6,1300,12,I M,
409,1,Low,6,1400,1,E H ,
