Day,Time,Location,Focal Individual,Behaviour,Social Partners(s),Partner's response,Notes
2,3:20 PM,1,.3,Move within 1,N/A,No longer with 8.,
2,3:25 PM,Open,1.,Bump,5.,Ran away,
2,3:27 PM,2,5.,Enter 2,N/A,,Walked around and then left
2,3:27 PM,2,5.,Exit 2,N/A,,
2,3:28 PM,7,.4,Exit 7,N/A,,
2,3:29 PM,12,:0,Exit 12,N/A,,
2,3:33 PM,10,.4,Enter 10,"3., .2, .8, 9.",,
2,3:35 PM,1,.3,Move within 1,8.,N/A,
2,3:35 PM,10,.8,Mount,.4,N/A,
2,3:36 PM,10,.8,Mount,.4,N/A,
2,3:40 PM,Open,:0,Bump,1.,N/A,
2,3:41 PM,Open,:0,Bump,5.,"Was climbing wall, no noticable response",
2,3:45 PM,Open,:0,Bump,1.,Ran away,
2,3:46 PM,Open,:0,Bump,1.,Ran away,
2,3:48 PM,10,.8,Mount,.4,N/A,
2,4:20 PM,Open,1.,Bump,5.,N/A,
2,4:36 PM,10,.8,Move within 10,N/A,No longer with the big aggregation,
2,4:37 PM,12,5.,Enter 12,7.,N/A,
3,9:26 AM,4,1:,move in shelter ,away from 6. ,NA,
3,9:28 AM,4,6.,move in shelter ,towards 1:,N/A,now in contact 
3,9:29 AM,4,6. ,move in shelter ,away from 1: ,N/A,
3,9:41 AM,10,.4,move in shelter ,"away from :0, .2, 9., 3. ",N/A,
3,10:01 AM,2,.6,exit,na,,
3,10:10 AM,1,.3,move in shelter ,away from 8.,N/A,
3,10:21 AM,4,6.,exit,na,,
3,10:39 AM,10,.8,exit,na,,
3,10:40 AM,12,2.,exit,na,,
3,10:41 AM,12,6.,enter,na,,
3,10:42 AM,12,6.,exit,na,,
3,10:42 AM,10,.4,exit ,towards .8,N/A,now in contact 
3,10:44 AM,open,6.,bump,2.,N/A,
3,10:45 AM,12,5.,exit ,N/A,,
3,10:46 AM,open,5.,bump,2. ,,
3,10:49 AM,7,6. ,enter,N/A,,
3,10:50 AM,7,6.,exit,N/A,,
3,11:05 AM,10,.8,Enter 10,"3., 9., .2, :0",,Left .4
3,11:06 AM,10,:0,Mount,.8,N/A,":0 quickly got off, everyone aggregating together now"
3,11:09 AM,10,6.,Enter 10,"3., 9., .2, :0, .8",,
3,11:09 AM,10,.4,Mating,6.,Running around,
3,11:10 AM,10,6.,Move within shelter,"3., 9., .2, :0",,
3,11:11 AM,10,8.,Mount,.4,,
3,11:11 AM,12,2.,Enter,N/A,,
3,11:14 AM,10,.4,Move within 10,N/A,,No longer with the big group
3,11:17 AM,10,.8,Mating,6.,Ran away,Running around with .8 on her and pushed .4 out of the shelter and .2 out of aggregation
3,11:19 AM,10,.4,Exit 10,N/A,,Was pushed by .8 mounted on 6.
3,11:20 AM,10,.2,Move within 10,N/A,No longer with the big aggregation,Was pushed by .8 mounted on 6.
3,11:21 AM,10,.8,Mount,.2,N/A,.8 eventually moved off
3,11:21 AM,10,:0,Mount,.8,N/A,:0 moved off quickly
3,11:23 AM,10,.2,Move within 10,"3., 9., :0, 6.",N/A,Back with the large aggregation
3,11:28 AM,12,2.,Exit 12,N/A,,
3,11:29 AM,10,.8,Mount,.2,N/A,",8 eventually just got off"
3,11:30 AM,10,.2,Move within 10,N/A,,No longer with the big group
3,11:35 AM,10,:0,Move within 10,.8,N/A,:0 and .8 no longer with big group
3,11:39 AM,1,8.,Exit 1,N/A,,No longer with .3
3,11:42 AM,10,:0,Move within 10,".8, 3., 9., 6., ",,Joined the big group
3,11:42 AM,10,.8,Move within 10,".8, 3., 9., 6.",,Joined the big group
3,11:43 AM,8,.1,Move within 8,:1,Moved away,No longer with .0
3,11:45 AM,7,0.,Exit 7,N/A,,
3,11:47 AM,10,:0,Exit 10,,,Touched .2 on the way out which got .2 moving
3,11:47 AM,10,.2,Move within 10,".8, 3., 9., 6.",,
3,12:01 PM,Outside 10,8.,Bump,:0,Chased 8. away,
3,12:07 PM,Open,5.,Bump,8.,Ran away,
3,12:14 PM,10,.8,Mount,6.,Ran away,
3,12:15 PM,10,6.,Exit,N/A,,
3,12:16 PM,1,.3,Exit 1,N/A,,
3,12:17 PM,Open,.3,Mount,8.,Ran away,Looked like mating but ended after ~15-20 seconds
3,12:18 PM,10,.8,Move within 10,3. and 9.,N/A,
3,12:19 PM,Open,6.,Bump,5.,N/A,6. Ran away after bumping into 5.
3,12:20 PM,10,.8,Mount ,.2,N/A,.8 got off shortly
3,12:20 PM,8,.1,Exit 8,N/A,,
3,12:23 PM,10,2.,Enter 10,N/A,,
3,12:24 PM,10,.2,Mating,2.,N/A,
3,12:25 PM,10,2.,Moved within 10,N/A,,
3,12:27 PM,9,6.,Enter 9,N/A,,
3,12:28 PM,10,.2,Move within 10,".8, 3., and 9.",,
3,12:29 PM,10,2.,Exit 10,N/A,,
3,12:30 PM,9,6.,Exit 9,N/A,,
3,12:30 PM,Open,7.,Bump,2.,Ran away,
3,12:33 PM,Open,2.,Bump,6.,Ran away,
3,12:34 PM,Open,:0,Bump,6.,Ran away,
3,12:35 PM,Open,.4,Mount,4.,N/A,4. Likely dead or messed up
3,12:36 PM,10,.2,Move within 10,N/A,"No longer with .8, 3., and 9.",
3,12:36 PM,Open,:0,Bump,2.,Ran away,
3,12:41 PM,Open,.4,Mount,8.,Ran away,
3,12:42 PM,1,5.,Enter 1,N/A,,
3,12:44 PM,1,5.,Exit 1,N/A,,
3,12:44 PM,Open,2.,Bump,:0,Ran away,
3,12:46 PM,Open,5.,Bump,8.,Ran away,
3,12:47 PM,Open,:0,Mount,5.,Ran away,
3,12:48 PM,1,.3,Enter 1,N/A,,
3,1:10 PM,Feeder,:0,Attempt feeding,N/A,,Tried for about 3 seconds and then ran away
3,1:11 PM,Feeder,:0,Feeding,,,
3,1:14 PM,Feeder,6.,Approach feeder,,,Ran away before trying
3,1:15 PM,12,7.,Move within 12,N/A,NO longer with .1 and 0:,
3,1:19 PM,8,:1,Move wihin 8,N/A,,
3,1:20 PM,Feeder,0.,Feeding,,,
3,1:21 PM,Feeder,6.,Attempt feeding,,,Tried and then ran away
3,1:22 PM,9,5.,Enter 9,,,
3,1:24 PM,Feeder,8.,Feeding,N/A,,Took a few tries
3,1:25 PM,Feeder,2.,Feeding,N/A,,Took a few tries
3,1:25 PM,Feeder,6.,Feeding,On top of 2.,,
